,id,pergunta,resposta,item
0,0,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
1,1,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
2,2,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
3,3,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
4,4,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
5,5,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
6,6,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
7,7,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
8,8,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
9,9,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
10,10,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
11,11,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
12,12,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
13,13,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
14,14,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
15,15,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
16,16,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
17,17,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
18,18,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
19,19,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
20,20,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
21,21,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
22,22,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
23,23,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
24,24,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
25,25,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
26,26,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
27,27,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
28,28,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
29,29,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
30,30,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
31,31,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
32,32,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
33,33,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
34,34,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
35,35,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
36,36,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
37,37,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
38,38,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
39,39,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
40,40,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
41,41,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
42,42,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
43,43,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
44,44,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
45,45,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
46,46,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
47,47,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
48,48,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
49,49,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
50,50,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
51,51,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
