,antecedent,consequent,support,support_antecedent,confidence,lift,n_transactions,n_support_antecedent,n_confidence,str,html
0,frozenset({'Onde você costuma comprar vinhos? Supermercado'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),"0,2","0,28","0,71","1,35",125,35,25,"28% responderam que <b>Onde você costuma comprar vinhos? Supermercado</b>, dos quais 71% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>28%</span><span class='rule_ant_frac'>(35/125)</span> responderam que <span class='rule_ant_str'>Onde você costuma comprar vinhos? Supermercado</span>, dos quais <span class='rule_con_perc'>71%</span><span class='rule_con_frac'>(25/35)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>."
1,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),"0,34","0,53","0,64","1,4",125,66,42,"53% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>, dos quais 64% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>53%</span><span class='rule_ant_frac'>(66/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>, dos quais <span class='rule_con_perc'>64%</span><span class='rule_con_frac'>(42/66)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>."
2,frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),"0,34","0,46","0,74","1,4",125,57,42,"46% responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>, dos quais 74% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>46%</span><span class='rule_ant_frac'>(57/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>, dos quais <span class='rule_con_perc'>74%</span><span class='rule_con_frac'>(42/57)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>."
3,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),"0,25","0,4","0,62","1,38",125,50,31,"40% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>, dos quais 62% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>40%</span><span class='rule_ant_frac'>(50/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>, dos quais <span class='rule_con_perc'>62%</span><span class='rule_con_frac'>(31/50)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>."
4,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,25","0,45","0,55","1,38",125,56,31,"45% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>, dos quais 55% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>45%</span><span class='rule_ant_frac'>(56/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>55%</span><span class='rule_con_frac'>(31/56)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
5,frozenset({'Quais vinhos você consome? Seco'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,31","0,6","0,52","1,3",125,75,39,"60% responderam que <b>Quais vinhos você consome? Seco</b>, dos quais 52% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>60%</span><span class='rule_ant_frac'>(75/125)</span> responderam que <span class='rule_ant_str'>Quais vinhos você consome? Seco</span>, dos quais <span class='rule_con_perc'>52%</span><span class='rule_con_frac'>(39/75)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
6,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas'}),"0,21","0,4","0,52","1,41",125,50,25,"40% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>, dos quais 52% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>40%</span><span class='rule_ant_frac'>(50/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>, dos quais <span class='rule_con_perc'>52%</span><span class='rule_con_frac'>(25/50)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</span>."
7,frozenset({'Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,21","0,37","0,57","1,41",125,46,26,"37% responderam que <b>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</b>, dos quais 57% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>37%</span><span class='rule_ant_frac'>(46/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</span>, dos quais <span class='rule_con_perc'>57%</span><span class='rule_con_frac'>(26/46)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
8,frozenset({'Gênero? Feminino'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),"0,3","0,49","0,61","1,33",125,61,37,"49% responderam que <b>Gênero? Feminino</b>, dos quais 61% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>49%</span><span class='rule_ant_frac'>(61/125)</span> responderam que <span class='rule_ant_str'>Gênero? Feminino</span>, dos quais <span class='rule_con_perc'>61%</span><span class='rule_con_frac'>(37/61)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>."
9,frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),frozenset({'Gênero? Feminino'}),"0,3","0,46","0,65","1,33",125,57,37,"46% responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>, dos quais 65% também responderam que <b>Gênero? Feminino</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>46%</span><span class='rule_ant_frac'>(57/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>, dos quais <span class='rule_con_perc'>65%</span><span class='rule_con_frac'>(37/57)</span> também responderam que <span class='rule_con_str'>Gênero? Feminino</span>."
